"cell_chembl_id","cell_description","cell_id","cell_name","cell_source_organism","cell_source_tax_id","cell_source_tissue","cellosaurus_id","cl_lincs_id","clo_id","efo_id"
"CHEMBL3307241","DC3F","1","DC3F","Cricetulus griseus","10029","Lung","CVCL_4704","","",""
"CHEMBL3307242","P3HR-1","2","P3HR-1","Homo sapiens","9606","Lyphoma","CVCL_2676","LCL-2024","CLO_0008331","EFO_0002312"
"CHEMBL3307243","UCLA P-3","3","UCLA P-3","Homo sapiens","9606","Lung Adenocarcinoma","CVCL_N513","","",""
"CHEMBL3307244","UMSCC22B","4","UMSCC22B","Homo sapiens","9606","Carcinoma","CVCL_7732","","",""
"CHEMBL3307245","UMUC3","5","UMUC3","Homo sapiens","9606","Bladder Carcinoma","CVCL_1783","LCL-1721","CLO_0009487","EFO_0002387"
"CHEMBL3307246","V79-4","6","V79-4","Cricetulus griseus","10029","Lung","CVCL_2796","","CLO_0009504",""
"CHEMBL3307247","VCR100","7","VCR100","Mus musculus","10090","Leukaemia","","","",""
"CHEMBL3307248","W256","8","W256","Rattus norvegicus","10116","Monocytic Carcinosarcoma","CVCL_3537","","CLO_0007335",""
"CHEMBL3307249","WEHI265.1","9","WEHI265.1","Mus musculus","10090","Macrophage","CVCL_3620","","CLO_0009576",""
"CHEMBL3307250","WiDr-NTR","10","WiDr-NTR","Homo sapiens","9606","Colon Adenocarcinoma","","","",""
"CHEMBL3307251","XC","11","XC","Rattus norvegicus","10116","Sarcoma","CVCL_1891","","CLO_0009645",""
"CHEMBL3307252","XF393","12","XF393","Homo sapiens","9606","Neuroblastoma","","","",""
"CHEMBL3307253","YAPC","13","YAPC","Homo sapiens","9606","Pancreas Carincoma","CVCL_1794","LCL-1792","CLO_0009711",""
"CHEMBL3307254","YT-NU","14","YT-NU","Homo sapiens","9606","Neuroblastoma","CVCL_H524","","",""
"CHEMBL3307255","T6400","15","T6400","Mus musculus","10090","Fibroblasts","CVCL_R998","","",""
"CHEMBL3307256","T78-1","16","T78-1","Cricetulus griseus","10029","Lung","CVCL_X527","","",""
"CHEMBL3307257","T78-1 / T79-A3","17","T78-1 / T79-A3","Cricetulus griseus","10029","Lung","","","",""
"CHEMBL3307258","TA3","18","TA3","Mus musculus","10090","Mammary Carcinoma","CVCL_4315","","",""
"CHEMBL3307259","UMR106-06","19","UMR106-06","Rattus norvegicus","10116","Osteosarcoma","CVCL_S477","","",""
"CHEMBL3308406","AIK-T8","20","AIK-T8","Homo sapiens","9606","Lymphocyte","CVCL_1B43","","",""
"CHEMBL3308394","G-401","21","G-401","Homo sapiens","9606","Kidney Wilm's tumor","CVCL_0270","LCL-1511","CLO_0003434","EFO_0002179"
"CHEMBL3307260","Jensen sarcoma","22","Jensen sarcoma","Rattus norvegicus","10116","fibroblast sarcoma","CVCL_3531","","CLO_0007018",""
"CHEMBL3307261","MDA-MB-238","23","MDA-MB-238","Homo sapiens","9606","Breast Adenocarcinoma","","","",""
"CHEMBL3307262","MKN-5","24","MKN-5","Homo sapiens","9606","Stomach Adenocarcinoma","","","",""
"CHEMBL3307263","MOLT-4F","25","MOLT-4F","Homo sapiens","9606","Leukaemia","CVCL_2792","LCL-1031","",""
"CHEMBL3307264","N9","26","N9","Homo sapiens","9606","Hepatocyte","","","",""
"CHEMBL3307265","NCI-H417","27","NCI-H417","Homo sapiens","9606","Lung Carcinoma","CVCL_1602","","",""
"CHEMBL3307266","NRK","28","NRK","Rattus norvegicus","10116","Kidney","CVCL_3758","","CLO_0008195",""
"CHEMBL3307267","NUGC-4","29","NUGC-4","Homo sapiens","9606","gastric lymph node, adenocarcinoma","CVCL_3082","LCL-2001","",""
"CHEMBL3307268","P388/VCR","30","P388/VCR","Mus musculus","10090","Leukaemia","","","",""
"CHEMBL3307269","PAXF546","31","PAXF546","Homo sapiens","9606","Panreatic Carcinoma","","","",""
"CHEMBL3307270","PLC","32","PLC","Homo sapiens","9606","Hepatoma","","","",""
"CHEMBL3307271","SCC-38","34","SCC-38","Homo sapiens","9606","Squamous Carcinoma","","","",""
"CHEMBL3307272","SISO","35","SISO","Homo sapiens","9606","Cervical Adenocarcinoma","CVCL_2193","LCL-1514","CLO_0009021",""
"CHEMBL3307273","SNU-16","37","SNU-16","Homo sapiens","9606","Gastric Carcinoma","CVCL_0076","LCL-1889","CLO_0009095","EFO_0002344"
"CHEMBL3307274","SW 962","38","SW 962","Homo sapiens","9606","Vulva Lymphoid Carcinoma","CVCL_1733","","CLO_0009205","EFO_0002377"
"CHEMBL3307275","T84","39","T84","Homo sapiens","9606","Colon carcinoma","CVCL_0555","LCL-1166","CLO_0009254","EFO_0002084"
"CHEMBL3307276","AIK-T4","40","AIK-T4","Homo sapiens","9606","Lymphocyte","CVCL_1B42","","",""
"CHEMBL3307277","B104","41","B104","Rattus norvegicus","10116","Neuroblastoma","CVCL_0154","","CLO_0001783",""
"CHEMBL3307278","CCRF S-180","42","CCRF S-180","Mus musculus","10090","Fibroblast Sarcoma","CVCL_2874","","CLO_0002333",""
"CHEMBL3307279","CEM-TK(+)","43","CEM-TK(+)","Homo sapiens","9606","Blood","","","",""
"CHEMBL3307280","COLO 480","44","COLO 480","Homo sapiens","9606","Colon adenocarcinoma","","","",""
"CHEMBL3307281","DAN-G","45","DAN-G","Homo sapiens","9606","Pancreas adenocarcinoma","CVCL_0243","LCL-1734","CLO_0002698",""
"CHEMBL3307282","HOS-TE85","46","HOS-TE85","Homo sapiens","9606","Oesteosarcoma","CVCL_0439","","CLO_0007814","EFO_0002866"
"CHEMBL3308408","L1210 (DACH)","47","L1210 (DACH)","Mus musculus","10090","lymphoblast, lymphocytic, leukemia (DACH resistant","CVCL_Y419","","",""
